von;datum_von;cluster_von;titel_von;nach;datum_nach;cluster_nach;titel_nach;konfidenz;label;cross_cluster;review_status;kommentar
eigenkapital-fuer-die-energiewende;22.04.2026;infra;Eigenkapital für die Energiewende;investitionen-in-eine-zukunftsfaehige-daseinsvorsorge;01.01.2025;infra;Investitionen in eine zukunftsfähige Daseinsvorsorge: Von kleinen Stadtwerken bis zum Konzern;hoch;investitionen-in-eine-zukunftsfaehige-daseinsvorsorge;nein;;
alle-versorger-versorgen-ein-deutschland-standard-fuer-die-energiewende;23.04.2026;infra;Alle Versorger versorgen: ein Deutschland-Standard für die Energiewende;eigenkapital-fuer-die-energiewende;22.04.2026;infra;Eigenkapital für die Energiewende;hoch;alle-versorger-versorgen-ein-deutschland-standard-fuer-die-energiewende;nein;;
die-arbeitsmarktampel;15.06.2022;makro;Die Arbeitsmarktampel;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;;;ja;;
wie-sieht-ein-guter-arbeitsmarkt-aus;23.06.2022;makro;Wie sieht ein guter Arbeitsmarkt aus? Indikatoren für einen Perspektivwechsel;die-arbeitsmarktampel;15.06.2022;makro;Die Arbeitsmarktampel;hoch;wie-sieht-ein-guter-arbeitsmarkt-aus;nein;;
wirtschaftliche-mehrkosten-durch-energiepreisanstiege;17.03.2022;makro;Wirtschaftliche Mehrkosten durch Energiepreisanstiege: eine Schätzung;zinsen-statt-geldmenge;14.10.2022;geldpolitik und anleihemärkte;Zinsen statt Geldmenge;;;ja;;
gaspreisbremse-transparenz;28.10.2022;makro;Wieso es möglichst bald eine möglichst transparente Gaspreisbremse braucht;wirtschaftliche-mehrkosten-durch-energiepreisanstiege;17.03.2022;makro;Wirtschaftliche Mehrkosten durch Energiepreisanstiege: eine Schätzung;hoch;wirtschaftliche-mehrkosten-durch-energiepreisanstiege;nein;;
italiens-stagnation-verstehen;11.05.2023;makro;Italiens Stagnation verstehen;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;hoch;weiterentwicklung-europaeische-fiskalregeln;ja;;
16-gruende-fuer-schnelles-handeln-kipppunkte-und-klimapolitik;07.06.2023;makro;16 Gruende fuer schnelles Handeln - Kipppunkte und Klimapolitik;ausgaben-fuer-die-dekarbonisierung;08.09.2021;haushalt;Ausgaben für die Dekarbonisierung;hoch;ausgaben-fuer-die-dekarbonisierung;ja;;
fossil-fuel-to-the-fire;21.11.2023;makro;Fossil Fuel to the Fire: Energy and Inflation in Europe;wirtschaftliche-mehrkosten-durch-energiepreisanstiege;17.03.2022;makro;Wirtschaftliche Mehrkosten durch Energiepreisanstiege: eine Schätzung;hoch;wirtschaftliche-mehrkosten-durch-energiepreisanstiege;nein;;
belastungswirkung-von-klimapolitik;08.05.2024;makro;Belastungswirkung von Klimapolitik - Impulse fuer ein umfassendes Verstaendnis;16-gruende-fuer-schnelles-handeln-kipppunkte-und-klimapolitik;07.06.2023;makro;16 Gruende fuer schnelles Handeln - Kipppunkte und Klimapolitik;hoch;belastungswirkung-von-klimapolitik;nein;;
